time;ap_adres
21.30.00;30d1-7eb4-37a0
21.31.00;30d1-7eb3-4f80
21.32.00;30d1-7eb3-4ec0
21.33.00;30d1-7eb4-b060
21.34.00;30d1-7eb3-4f00
21.35.00;30d1-7eb4-ad60
21.36.00;30d1-7eb4-ace0
21.37.00;30d1-7eb4-ad80
21.38.00;30d1-7eb4-ade0
21.39.00;30d1-7eb4-ec60
21.40.00;30d1-7eb4-ede0
21.41.00;30d1-7eb4-eb20
21.42.00;30d1-7eb4-ec80
21.43.00;30d1-7eb4-eaa0
21.44.00;30d1-7eb4-ebe0
21.45.00;30d1-7eb4-ee20
21.46.00;30d1-7eb4-efc0
21.47.00;30d1-7ee5-1a20
21.48.00;30d1-7ee5-1b40
21.49.00;30d1-7ee5-1d80
21.50.00;30d1-7ee5-18e0
21.51.00;30d1-7ee5-1b80
21.52.00;30d1-7ee5-1b00
21.53.00;30d1-7ee5-1d20
21.54.00;30d1-7eb4-adc0
21.55.00;30d1-7eb4-37c0
21.56.00;30d1-7eb4-ad20
21.57.00;30d1-7eb3-4e80
21.58.00;30d1-7eb3-4f40
21.59.00;30d1-7eb3-4ee0
22.00.00;30d1-7eb3-4e60
22.01.00;30d1-7eb4-9040
22.02.50;30d1-7eb3-4f40
22.03.40;30d1-7eb4-adc0
22.04.30;30d1-7ee5-1b80
22.05.30;30d1-7ee5-1a20
22.06.20;30d1-7eb4-eaa0
22.07.00;30d1-7eb4-ede0
22.07.50;30d1-7eb4-ace0
22.08.42;30d1-7eb3-4ec0
